id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Leon;Kiehn;Dandre.Runte53@yahoo.com;overconfidently doing nippy;2024-11-17T21:26:31;25374;7360
2;Novella;Cummerata;Hermina93@yahoo.com;doubter;2024-11-17T16:12:49;11730;25333
3;Gerry;Hirthe;Nakia.Lakin@hotmail.com;for quick;2024-11-18T06:37:12;4333;7951
4;Mallory;Legros;Aaliyah_Wiegand@gmail.com;nervously after;2024-11-17T13:39:05;23787;32300
5;Vicente;Shields;Ian_Renner14@gmail.com;bah;2024-11-18T02:00:08;18549;6358
6;Ernestine;Kutch;Sally_Feeney53@gmail.com;big damaged;2024-11-17T20:17:44;19563;8931
7;Presley;Runolfsson;Dylan5@hotmail.com;down hype freely;2024-11-17T19:50:59;27518;3984
8;Eugenia;Maggio;Kelton_Runte-Mertz87@hotmail.com;yahoo by excluding;2024-11-17T14:14:14;31961;22311
9;Jorge;Russel;Leatha.Armstrong47@hotmail.com;patiently;2024-11-18T05:00:06;21891;10753
10;Major;Pagac;Sven_Mosciski@yahoo.com;adventurously overconfidently;2024-11-17T14:16:38;14273;11768
